Date,Campaign,Impressions,Clicks,Cost,Revenue,Device_Mobile,Device_Tablet,Device_Unknown,Region_Europe,Region_North America,Region_South America,Age_Group_25-34,Age_Group_35-44,Age_Group_45-54,Age_Group_55+,Interest_Fitness,Interest_Tech,Interest_Travel,Platform,CTR,CPC,ROAS,Week,Month
2023-01-01,Facebook_Campaign_1,8270,910.0,265.09,1180.55,True,False,False,False,False,False,0,1,0,0,0,0,0,Facebook,0.11003627569528417,0.29130769230769227,4.453393187219435,52,1
2023-01-01,Facebook_Campaign_2,6578,6281.0,400.34,257.16,False,False,False,True,False,False,0,1,0,0,0,0,1,Facebook,0.9548494983277592,0.06373825823913389,0.6423539991007644,52,1
2023-01-01,Facebook_Campaign_3,7949,2483.0,263.64,315.94,False,False,False,False,False,False,0,0,1,0,1,0,0,Facebook,0.31236633538809916,0.10617801047120418,1.1983765741162191,52,1
2023-01-01,Facebook_Campaign_4,9666,9324.0,459.87,117.67,False,False,False,False,False,True,0,1,0,0,1,0,0,Facebook,0.9646182495344506,0.049321106821106825,0.2558766607954422,52,1
2023-01-01,Facebook_Campaign_5,4005,612.0,444.22,1475.68,False,True,False,False,False,False,0,0,1,0,0,0,1,Facebook,0.15280898876404495,0.7258496732026144,3.321957588582234,52,1
2023-01-02,Facebook_Campaign_1,6393,2485.0,947.98,787.4449999999999,False,False,False,True,False,False,0,0,0,1,0,1,0,Facebook,0.3887063976223995,0.38148088531187124,0.8306557100360766,1,1
2023-01-02,Facebook_Campaign_2,7235,5536.0,714.94,934.5,False,True,False,False,True,False,0,0,0,0,0,0,0,Facebook,0.7651693158258466,0.12914378612716765,1.3071026939323578,1,1
2023-01-02,Facebook_Campaign_3,2585,1071.0,568.06,842.73,False,True,False,False,False,False,0,0,0,0,1,0,0,Facebook,0.41431334622823984,0.5304014939309056,1.4835228673027498,1,1
2023-01-02,Facebook_Campaign_4,1161,251.0,905.34,916.95,True,False,False,False,False,False,1,0,0,0,0,0,0,Facebook,0.21619293712316967,3.6069322709163347,1.0128239114586786,1,1
2023-01-02,Facebook_Campaign_5,2016,1775.0,392.8,613.58,False,False,False,False,False,True,0,1,0,0,0,0,1,Facebook,0.8804563492063492,0.22129577464788733,1.5620672097759676,1,1
2023-01-03,Facebook_Campaign_1,5859,429.0,348.4,787.4449999999999,False,False,False,False,True,False,0,0,1,0,0,0,1,Facebook,0.07322068612391193,0.812121212121212,2.260175086107922,1,1
2023-01-03,Facebook_Campaign_2,3027,2745.0,104.97,1232.42,True,False,False,True,False,False,0,0,0,1,0,1,0,Facebook,0.9068384539147671,0.03824043715846995,11.740687815566353,1,1
2023-01-03,Facebook_Campaign_3,6892,3611.0,422.62,218.01,False,True,False,False,True,False,0,0,0,1,0,0,0,Facebook,0.5239408009286128,0.11703683190252008,0.5158534854005963,1,1
2023-01-03,Facebook_Campaign_4,8215,4648.0,379.88,521.52,True,False,False,True,False,False,0,1,0,0,0,0,0,Facebook,0.5657942787583689,0.08172977624784854,1.372854585658629,1,1
2023-01-03,Facebook_Campaign_5,6056,5631.0,864.02,1096.51,False,False,False,False,True,False,0,1,0,0,0,0,0,Facebook,0.9298216644649934,0.15343988634345587,1.269079419457883,1,1
2023-01-04,Facebook_Campaign_1,1206,1088.0,199.8,687.04,False,False,False,False,False,False,0,0,0,0,0,1,0,Facebook,0.9021558872305141,0.18363970588235295,3.438638638638638,1,1
2023-01-04,Facebook_Campaign_2,6116,4241.0,725.96,252.03,False,True,False,True,False,False,0,0,0,1,0,1,0,Facebook,0.6934270765206016,0.17117660929026174,0.34716788803790843,1,1
2023-01-04,Facebook_Campaign_3,7668,5329.0,638.98,1057.44,True,False,False,False,True,False,0,0,0,0,0,1,0,Facebook,0.6949660928534168,0.11990617376618502,1.6548874769163355,1,1
2023-01-04,Facebook_Campaign_4,3693,845.0,823.3,320.53,False,True,False,False,False,False,0,1,0,0,0,0,0,Facebook,0.2288112645545627,0.9743195266272189,0.389323454390866,1,1
2023-01-04,Facebook_Campaign_5,6592,3352.0,916.15,787.4449999999999,False,False,False,False,False,True,0,0,0,0,1,0,0,Facebook,0.508495145631068,0.27331443914081144,0.8595153632047153,1,1
2023-01-05,Facebook_Campaign_1,8526,5625.0,580.68,753.0,False,False,False,False,True,False,0,1,0,0,0,1,0,Facebook,0.659746657283603,0.10323199999999999,1.2967555280016534,1,1
2023-01-05,Facebook_Campaign_2,8994,1545.0,732.72,577.26,True,False,False,False,True,False,1,0,0,0,0,1,0,Facebook,0.17178118745830553,0.47425242718446603,0.7878316410088437,1,1
2023-01-05,Facebook_Campaign_3,8554,7330.0,233.28,1496.72,True,False,False,False,False,True,0,1,0,0,0,1,0,Facebook,0.8569090483984101,0.03182537517053206,6.415980795610425,1,1
2023-01-05,Facebook_Campaign_4,1854,1809.0,917.44,397.36,False,True,False,False,False,True,0,0,0,1,0,1,0,Facebook,0.9757281553398058,0.5071531232725263,0.43311824206487615,1,1
2023-01-05,Facebook_Campaign_5,6535,6440.0,704.92,1154.35,True,False,False,True,False,False,0,0,0,1,0,1,0,Facebook,0.9854628921193573,0.10945962732919254,1.637561709130114,1,1
2023-01-06,Facebook_Campaign_1,3931,3731.0,670.18,826.87,False,False,False,False,True,False,1,0,0,0,0,1,0,Facebook,0.9491223607224625,0.17962476547842401,1.233802858933421,1,1
2023-01-06,Facebook_Campaign_2,3511,3470.0,872.52,522.64,False,False,False,False,True,False,1,0,0,0,0,1,0,Facebook,0.9883224152663059,0.2514466858789625,0.5990005959748773,1,1
